llm_type,query_type,query,spec_type,generated_params,ground_truth,precision,recall,hallucination_count,eval_times
mistral,explicit,"Give me the weather forecast for London today, including temperature, precipitation, and air quality index.",full,"{""q"":""London"",""days"":""1"",""aqi"":""yes""}","{'q': 'London', 'days': '1', 'aqi': 'yes'}",1.0,,0,0.8850557804107666
mistral,ambiguous,"What's the weather in London today? I don't know if I can go out this afternoon with my allergies, they get bad with the air quality",full,"{""q"":""London"",""days"":""1"",""aqi"":""yes""}","{'q': 'London', 'days': '1', 'aqi': 'yes'}",1.0,,0,0.7386505603790283
mistral,vague,Is it a good idea to go out in London today?,full,"{""q"":""London"",""days"":""1""}","{'q': 'London', 'days': '1', 'aqi': 'yes'}",0.6666666666666666,,0,0.6817541122436523
mistral,explicit,Find me the cheapest available economy-class flight from John F. Kennedy Airport (JFK) in New York City to Incheon International Airport (ICN) for two adults departing today.,full,"{""fromId"":""JFK.AIRPORT"",""toId"":""ICN.AIRPORT"",""departDate"":""2023-10-05"",""adults"":""2"",""cabinClass"":""ECONOMY""}","{'fromId': 'JFK.AIRPORT', 'toId': 'STO.AIRPORT', 'departDate': '2024-12-15', 'adults': '2', 'cabinClass': 'ECONOMY'}",1.0,,0,1.5086157321929932
mistral,ambiguous,I need an affordable flight for today's date from JFK airport to Seoul for my husband and I,full,"{""fromId"":""JFK.AIRPORT"",""toId"":""ICN.AIRPORT"",""departDate"": ""2024-08-07"",""adults"":""2"",""cabinClass"":""ECONOMY""}","{'fromId': 'JFK.AIRPORT', 'toId': 'STO.AIRPORT', 'departDate': '2024-12-15', 'adults': '2', 'cabinClass': 'ECONOMY'}",1.0,,0,1.528282880783081
mistral,vague,Can I get a good flight deal from New York to South Korea today?,full,"{""fromId"":""NYC.AIRPORT"",""toId"":""SEL.AIRPORT"",""departDate"":""2023-10-05"",""adults"":""1"",""cabinClass"":""ECONOMY""}","{'fromId': 'JFK.AIRPORT', 'toId': 'STO.AIRPORT', 'departDate': '2024-12-15', 'adults': '2', 'cabinClass': 'ECONOMY'}",1.0,,0,1.413501501083374
mistral,explicit,Find a flight from New York City (NYC) to Seoul (ICN) for two adults and one infant,full,"{""originSkyId"":""NYC"",""destinationSkyId"":""ICN"",""originEntityId"":""NYC"",""destinationEntityId"":""ICN"",""date"":""2023-12-01"",""adults"":""2"",""infants"":""1""}","{'originSkyId': 'NYC', 'destinationSkyId': 'STO', 'adults': '2', 'infants': '1'}",1.0,,0,1.6359713077545166
mistral,ambiguous,"My wife, newborn, and I need to visit her parents in Seoul. We're leaving from NYC.",full,"{""originSkyId"":""NYC"",""destinationSkyId"":""SEL"",""originEntityId"":""NYC"",""destinationEntityId"":""SEL"",""date"":""2023-12-01"",""adults"":""2"",""infants"":""1"",""cabinClass"":""economy"",""currency"":""USD"",""market"":""en-US"",""countryCode"":""US""}","{'originSkyId': 'NYC', 'destinationSkyId': 'STO', 'adults': '2', 'infants': '1'}",1.0,,0,1.965954065322876
mistral,vague,Looking for a way to get my family to Seoul.,full,"{""originSkyId"":"""",""destinationSkyId"":""SKY1234"",""originEntityId"":"""",""destinationEntityId"":""ENT5678"",""date"":""2023-12-01"",""returnDate"":""2023-12-10"",""cabinClass"":""economy"",""adults"":""2"",""children"":""2"",""infants"":""0""}","{'originSkyId': 'NYC', 'destinationSkyId': 'STO', 'adults': '2', 'infants': '1'}",1.0,,0,2.338860034942627
mistral,explicit,Find airports in New York City (NYC) that offer flights. Display the results in Spanish (Mexico locale).,full,"{""query"":""New York City"",""locale"":""es_MX""}","{'query': 'NYC', 'locale': 'es-MX'}",1.0,,0,0.7767617702484131
