llm_type,query_type,query,spec_type,generated_params,scores,eval_times
mistral,explicit,"Give me the weather forecast for London today, including temperature, precipitation, and air quality index.",partial,"{'q':'London','days':'0','aqi':'yes'}",100.0,0.7758083343505859
mistral,explicit,Find me the cheapest available economy-class flight from John F. Kennedy Airport (JFK) in New York City to Incheon International Airport (ICN) for two adults departing today.,partial,"{'fromId':'JFK','toId':'ICN','departDate':'2023-10-05','adults':'2','cabinClass':'economy'}",100.0,1.23935866355896
mistral,ambiguous,"What's the weather in London today? I don't know if I can go out this afternoon with my allergies, they get bad with the air quality",partial,"{""q"":""London"",""days"":""0"",""aqi"":""yes""}",100.0,0.6732099056243896
mistral,ambiguous,I need an affordable flight for today's date from JFK airport to Seoul for my husband and I,partial,"{'fromId':'JFK','toId':'SEL','departDate':'2023-10-05','adults':'2','currency_code':'USD'}",80.0,1.3393478393554688
mistral,vague,Is it a good idea to go out in London today?,partial,"{""q"":""London"",""days"":""1""}",76.66666666666667,0.711341381072998
mistral,vague,Can I get a good flight deal from New York to South Korea today?,partial,"{'fromId': 'NYC', 'toId': 'SEL', 'departDate': '2023-10-05', 'currency_code': 'USD'}",66.0,2.9058191776275635
gpt-3.5,explicit,"Give me the weather forecast for London today, including temperature, precipitation, and air quality index.",partial,"{
    ""q"": ""London"",
    ""days"": ""1"",
    ""lang"": ""en"",
    ""aqi"": ""yes""
}",90.0,0.6289553642272949
gpt-3.5,explicit,Find me the cheapest available economy-class flight from John F. Kennedy Airport (JFK) in New York City to Incheon International Airport (ICN) for two adults departing today.,partial,"{
    ""fromId"": ""JFK"",
    ""toId"": ""ICN"",
    ""departDate"": ""today"",
    ""adults"": ""2"",
    ""cabinClass"": ""economy""
}",100.0,0.7454590797424316
gpt-3.5,ambiguous,"What's the weather in London today? I don't know if I can go out this afternoon with my allergies, they get bad with the air quality",partial,"{
    ""q"": ""London"",
    ""dt"": ""today"",
    ""aqi"": ""true""
}",66.66666666666667,1.0733859539031982
gpt-3.5,ambiguous,I need an affordable flight for today's date from JFK airport to Seoul for my husband and I,partial,"{
    ""fromId"": ""JFK"",
    ""toId"": ""ICN"",
    ""departDate"": ""YYYY-MM-DD"",
    ""adults"": ""2""
}",86.0,0.6732549667358398
gpt-3.5,vague,Is it a good idea to go out in London today?,partial,"{
    ""q"": ""Is it a good idea to go out in London today?"",
    ""days"": ""1"",
    ""lang"": ""en""
}",66.66666666666667,0.7465102672576904
gpt-3.5,vague,Can I get a good flight deal from New York to South Korea today?,partial,"{
    ""fromId"": ""New York"",
    ""toId"": ""South Korea"",
    ""departDate"": ""today""
}",72.0,1.2128844261169434
gpt-4o,explicit,"Give me the weather forecast for London today, including temperature, precipitation, and air quality index.",partial,"{'q': 'London', 'dt': 'today', 'aqi': 'yes'}",66.66666666666667,1.0580759048461914
gpt-4o,explicit,Find me the cheapest available economy-class flight from John F. Kennedy Airport (JFK) in New York City to Incheon International Airport (ICN) for two adults departing today.,partial,"{'fromId': 'JFK', 'toId': 'ICN', 'departDate': '2023-10-07', 'adults': '2', 'cabinClass': 'economy'}",100.0,2.4016096591949463
gpt-4o,ambiguous,"What's the weather in London today? I don't know if I can go out this afternoon with my allergies, they get bad with the air quality",partial,"{""q"": ""London"", ""dt"": ""today"", ""hour"": ""afternoon"", ""aqi"": ""yes""}",56.66666666666667,1.1765038967132568
gpt-4o,ambiguous,I need an affordable flight for today's date from JFK airport to Seoul for my husband and I,partial,"{'fromId': 'JFK', 'toId': 'ICN', 'departDate': '2023-11-01', 'adults': '2'}",86.0,1.327444076538086
gpt-4o,vague,Is it a good idea to go out in London today?,partial,{'q': 'London'},53.333333333333336,0.7245821952819824
gpt-4o,vague,Can I get a good flight deal from New York to South Korea today?,partial,"{""fromId"": ""New York"", ""toId"": ""South Korea"", ""departDate"": ""2023-10-09""}",72.0,1.750908613204956
